Country,Year,DomesticType,ProductionType,DomesticConsumption,Production,Export,Import,ImporterConsumption,GreenInventory,ReExport
Indonesia,1993,Robusta/Arabica,Robusta/Arabica,81540000,404580000,339720000,NULL,NULL,NULL,NULL
Indonesia,1993,Robusta/Arabica,Robusta/Arabica,81540000,404580000,339720000,NULL,NULL,NULL,NULL
Indonesia,1993,Robusta/Arabica,Robusta/Arabica,81540000,404580000,339720000,NULL,NULL,NULL,NULL
Indonesia,1993,Robusta/Arabica,Robusta/Arabica,81540000,404580000,339720000,NULL,NULL,NULL,NULL
Indonesia,1993,Robusta/Arabica,Robusta/Arabica,81540000,404580000,339720000,NULL,NULL,NULL,NULL
Indonesia,1993,Robusta/Arabica,Robusta/Arabica,81540000,404580000,339720000,NULL,NULL,NULL,NULL
Indonesia,1993,Robusta/Arabica,Robusta/Arabica,81540000,404580000,339720000,NULL,NULL,NULL,NULL
Indonesia,1993,Robusta/Arabica,Robusta/Arabica,81540000,404580000,339720000,NULL,NULL,NULL,NULL
Indonesia,1993,Robusta/Arabica,Robusta/Arabica,81540000,404580000,339720000,NULL,NULL,NULL,NULL
Indonesia,1993,Robusta/Arabica,Robusta/Arabica,81540000,404580000,339720000,NULL,NULL,NULL,NULL
Madagascar,1993,Robusta,Robusta,21600000,26520000,37680000,NULL,NULL,NULL,NULL
Madagascar,1993,Robusta,Robusta,21600000,26520000,37680000,NULL,NULL,NULL,NULL
Madagascar,1993,Robusta,Robusta,21600000,26520000,37680000,NULL,NULL,NULL,NULL
Madagascar,1993,Robusta,Robusta,21600000,26520000,37680000,NULL,NULL,NULL,NULL
Madagascar,1993,Robusta,Robusta,21600000,26520000,37680000,NULL,NULL,NULL,NULL
Madagascar,1993,Robusta,Robusta,21600000,26520000,37680000,NULL,NULL,NULL,NULL
Madagascar,1993,Robusta,Robusta,21600000,26520000,37680000,NULL,NULL,NULL,NULL
Madagascar,1993,Robusta,Robusta,21600000,26520000,37680000,NULL,NULL,NULL,NULL
Madagascar,1993,Robusta,Robusta,21600000,26520000,37680000,NULL,NULL,NULL,NULL
Madagascar,1993,Robusta,Robusta,21600000,26520000,37680000,NULL,NULL,NULL,NULL
Madagascar,1993,Robusta,Robusta,21600000,26520000,37680000,NULL,NULL,NULL,NULL
Madagascar,1993,Robusta,Robusta,21600000,26520000,37680000,NULL,NULL,NULL,NULL
Madagascar,1993,Robusta,Robusta,21600000,26520000,37680000,NULL,NULL,NULL,NULL
Madagascar,1993,Robusta,Robusta,21600000,26520000,37680000,NULL,NULL,NULL,NULL
